titular;fecha;diario
"Edmundo Bal rechaza que Vox entre en el Gobierno de la Comunidad de Madrid: ""Si yo estoy, eso no va a pasar""";https://www.elmundo.es/elecciones/elecciones-madrid/2021/04/08/606ed066fdddff484d8b45af.html;El Mundo
"Pedradas, botellazos y gritos de ""fascistas"": cargas policiales, heridos y detenidos en la protesta violenta por el mitin de Vox";https://www.elmundo.es/madrid/2021/04/07/606deb2bfdddff241b8b456f.html;El Mundo
Toni Cantó debuta como fichaje de la lista del PP de Ayuso en un barrio de Madrid donde Ciudadanos ganó en 2019;https://www.elmundo.es/elecciones/elecciones-madrid/2021/04/07/606e00e621efa04e6d8b45e6.html;El Mundo
"La ""libertad"" protagoniza el cartel electoral de Ayuso, que no participará en el debate de candidatos de Telemadrid";https://www.elmundo.es/elecciones/elecciones-madrid/2021/04/07/606d820efc6c83b95a8b45ae.html;El Mundo
"Errejón ve ""un poco pronto"" que Iglesias pida consejerías: ""Primero hay que ganar; el orden es importante""";https://www.elmundo.es/madrid/2021/04/06/606c4586fdddffd1948b465c.html;El Mundo
La Junta Electoral ordena retirar la propaganda ilegal de la campaña de Pablo Iglesias;https://www.elmundo.es/elecciones/elecciones-madrid/2021/04/05/606b586efdddff85a98b45aa.html;El Mundo
Voto por correo en las Elecciones de Madrid: Cómo solicitarlo y plazos;https://www.elmundo.es/madrid/2021/03/17/6051db7f21efa023668b4625.html;El Mundo
"Pablo Casado pide el voto a los simpatizantes de Vox para que Ayuso gobierne sola: ""El multipartidismo es un desastre""";https://www.elmundo.es/espana/2021/04/06/606c1e0ffc6c83c7348b45a0.html;El Mundo
"Bertrand Ndongo, asesor de Vox, se rebela contra su partido: ""Damos la razón a los que piensan que Vox es racista""";https://www.elmundo.es/elecciones/elecciones-madrid/2021/04/06/606c173f21efa0b2088b45e4.html;El Mundo
Isabel Díaz Ayuso reclama a Pablo Casado autonomía absoluta en su campaña;https://www.elmundo.es/elecciones/elecciones-madrid/2021/04/06/606b441afc6c833b698b461c.html;El Mundo
Patatas a lo Ayuso;https://www.elmundo.es/opinion/columnistas/2021/04/06/606b2e07fdddff20058b45da.html;El Mundo
Los expertos en demoscopia denuncian que Tezanos ha asignado mal los escaños en el CIS de Madrid;https://www.elmundo.es/elecciones/elecciones-madrid/2021/04/05/606b0585fdddff5c2f8b4573.html;El Mundo
"Pablo Iglesias formará a los profesores de Madrid en educación ""afectivo-sexual"" al mismo nivel que matemáticas o lengua";https://www.elmundo.es/elecciones/elecciones-madrid/2021/04/05/606adfb721efa0a0528b460a.html;El Mundo
Santiago Abascal y Rocío Monasterio arrancarán la campaña del 4-M de Vox en la plaza Roja de Vallecas;https://www.elmundo.es/espana/2021/04/05/606af1e521efa0d3538b4620.html;El Mundo
Ayuso acusa a Sánchez de querer acabar con el modelo del 78 por pactar con Podemos, ser socio de golpistas o acercar al asesino de Miguel Ángel Blanco;https://www.elmundo.es/madrid/2021/04/05/606ad4cafc6c8375628b45cd.html;El Mundo
Vox centrará su campaña en el 'cinturón rojo' de Madrid y confía en mantener o aumentar sus escaños;https://www.elmundo.es/elecciones/elecciones-madrid/2021/04/05/6069f6cdfdddff671d8b4653.html;El Mundo
